variable,method,time,vi,train_loss,test_loss
X2,lazy,1.1137950420379639,0.6797821260988712,0.7245661020278931,0.7046334147453308
X2,retrain,10.559376001358032,0.676512036472559,0.6965751647949219,0.7013633251190186
X3,dropout,0.0,1.0172683335840702,0.9752386212348938,1.0421196222305298
X3,lazy,1.1512300968170166,1.013414416462183,0.9555081129074097,1.0382657051086426
X3,retrain,12.511528015136719,1.026506695896387,0.9744349122047424,1.0513579845428467
all,full model,9.751332759857178,0.0,0.018958622589707375,0.02100841887295246
X1,dropout,0.0,2.3179004918783903,2.1535215377807617,2.3389089107513428
X1,lazy,1.1219868659973145,0.9972074758261442,1.0168136358261108,1.0182158946990967
X1,retrain,10.941062211990356,1.0170709621161222,1.0176002979278564,1.0380793809890747
X2,dropout,0.0,1.4446388017386198,1.2981916666030884,1.4656472206115723
X2,lazy,1.1324279308319092,0.6644839178770781,0.6539551615715027,0.6854923367500305
X2,retrain,12.217953205108643,0.6579735409468412,0.631618320941925,0.6789819598197937
X3,dropout,0.0,0.9532598983496428,1.0083898305892944,0.9742683172225952
X3,lazy,1.114084243774414,0.95105273835361,0.9955661296844482,0.9720611572265625
X3,retrain,11.012964963912964,0.9617682825773954,1.004940152168274,0.9827767014503479
all,full model,11.344213008880615,0.0,0.024476172402501106,0.024529416114091873
X1,dropout,0.0,2.111050646752119,2.2371485233306885,2.135580062866211
X1,lazy,1.1166231632232666,0.9505069069564342,1.046542763710022,0.9750363230705261
X1,retrain,16.233722925186157,0.9496551565825939,1.0222766399383545,0.9741845726966858
X2,dropout,0.0,1.3910686187446117,1.4405932426452637,1.4155980348587036
X2,lazy,1.12322998046875,0.6318169049918652,0.6618492007255554,0.656346321105957
X2,retrain,13.479493141174316,0.6256323270499706,0.6464833617210388,0.6501617431640625
X3,dropout,0.0,0.9485038332641125,1.0329089164733887,0.9730332493782043
X3,lazy,1.179325819015503,0.9559539370238781,1.0225086212158203,0.98048335313797
X3,retrain,12.981691122055054,0.9681457690894604,1.0103857517242432,0.9926751852035522
all,full model,16.149533987045288,0.0,0.02602967992424965,0.028333546593785286
X1,dropout,0.0,2.187938092276454,2.264289617538452,2.2162716388702393
X1,lazy,1.1276240348815918,1.000918148085475,1.001695990562439,1.0292516946792603
X1,retrain,8.205142974853516,1.0314586143940687,1.0075483322143555,1.059792160987854
X2,dropout,0.0,1.3810102920979261,1.4113500118255615,1.4093438386917114
X2,lazy,1.1329562664031982,0.6536936145275831,0.6808007955551147,0.6820271611213684
X2,retrain,15.381915807723999,0.6222754698246717,0.6332679390907288,0.650609016418457
X3,dropout,0.0,0.978949187323451,1.0427849292755127,1.0072827339172363
X3,lazy,1.2193009853363037,0.9955270271748304,1.0447286367416382,1.0238605737686157
X3,retrain,13.195321083068848,1.0037053804844618,1.0439521074295044,1.032038927078247
all,full model,11.494314908981323,0.0,0.019647248089313507,0.020452748984098434
X1,dropout,0.0,1.9998812563717365,2.1460413932800293,2.020334005355835
X1,lazy,1.1374242305755615,1.24601386860013,1.353179693222046,1.2664666175842285
X1,retrain,10.426016807556152,0.9075132496654987,0.9639286398887634,0.9279659986495972
X2,dropout,0.0,1.3018894083797932,1.3814319372177124,1.3223421573638916
X2,lazy,1.125702142715454,0.6029775030910969,0.649749755859375,0.6234302520751953
X2,retrain,13.456095933914185,0.5851318724453449,0.6262004375457764,0.6055846214294434
X3,dropout,0.0,0.992188323289156,0.9893472790718079,1.0126410722732544
